Type,Date,Hour,Weekday,DayCode,Location,Amount
Withdrawal,1,10,Tue,3,CampusB,2000 
Withdrawal,1,10,Tue,3,CampusB,2000 
Deposit,1,10,Tue,3,DriveUp,57000 
Withdrawal,1,10,Tue,3,DriveUp,3000 
Deposit,1,10,Tue,3,DriveUp,60000 
Deposit,1,10,Tue,3,DriveUp,60000 
Withdrawal,1,10,Tue,3,CampusA,1000 
Withdrawal,1,10,Tue,3,CampusB,1000 
Withdrawal,1,10,Tue,3,CampusB,4000 
Deposit,1,10,Tue,3,CampusB,6000 
Withdrawal,1,10,Tue,3,DriveUp,2000 
Withdrawal,1,10,Tue,3,CampusB,1000 
Deposit,1,10,Tue,3,DriveUp,3000 
Deposit,1,10,Tue,3,DriveUp,1000 
Withdrawal,1,10,Tue,3,DriveUp,3000 
Deposit,1,10,Tue,3,DriveUp,5000 
Withdrawal,1,10,Tue,3,CampusA,1000 
Deposit,1,11,Tue,3,CampusB,8000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Deposit,1,11,Tue,3,CampusB,14000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Withdrawal,1,11,Tue,3,DriveUp,1000 
Deposit,1,11,Tue,3,CampusB,2000 
Withdrawal,1,11,Tue,3,CampusA,1000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Withdrawal,1,11,Tue,3,DriveUp,1000 
Withdrawal,1,11,Tue,3,CampusB,2000 
Withdrawal,1,11,Tue,3,CampusB,2000 
Withdrawal,1,11,Tue,3,DriveUp,3000 
Deposit,1,11,Tue,3,CampusB,3000 
Deposit,1,11,Tue,3,DriveUp,52000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Transfer,1,11,Tue,3,DriveUp,30000 
Transfer,1,11,Tue,3,DriveUp,60000 
Withdrawal,1,11,Tue,3,CampusB,6000 
Transfer,1,11,Tue,3,DriveUp,240000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Withdrawal,1,11,Tue,3,DriveUp,1000 
Deposit,1,11,Tue,3,CampusB,9000 
Deposit,1,11,Tue,3,DriveUp,15000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Deposit,1,11,Tue,3,DriveUp,180000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Withdrawal,1,11,Tue,3,DriveUp,3000 
Deposit,1,11,Tue,3,DriveUp,77000 
Withdrawal,1,11,Tue,3,DriveUp,6000 
Withdrawal,1,11,Tue,3,DriveUp,3000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Withdrawal,1,11,Tue,3,CampusB,2000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Withdrawal,1,11,Tue,3,CampusA,1000 
Deposit,1,11,Tue,3,DriveUp,60000 
Deposit,1,11,Tue,3,CampusB,13000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Transfer,1,11,Tue,3,DriveUp,21000 
Withdrawal,1,11,Tue,3,DriveUp,2000 
Withdrawal,1,11,Tue,3,CampusB,5000 
Withdrawal,1,11,Tue,3,DriveUp,2000 
Deposit,1,11,Tue,3,CampusB,14000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Withdrawal,1,11,Tue,3,DriveUp,2000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Withdrawal,1,11,Tue,3,CampusB,2000 
Withdrawal,1,11,Tue,3,DriveUp,3000 
Withdrawal,1,11,Tue,3,CampusB,2000 
Withdrawal,1,11,Tue,3,CampusA,2000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Withdrawal,1,11,Tue,3,DriveUp,1000 
Withdrawal,1,11,Tue,3,CampusB,2000 
Withdrawal,1,11,Tue,3,DriveUp,5000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Deposit,1,11,Tue,3,CampusB,2000 
Transfer,1,11,Tue,3,CampusB,2000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Withdrawal,1,11,Tue,3,CampusB,1000 
Deposit,1,11,Tue,3,DriveUp,69000 
Withdrawal,1,12,Tue,3,DriveUp,6000 
Withdrawal,1,12,Tue,3,CampusB,3000 
Deposit,1,12,Tue,3,DriveUp,6000 
Deposit,1,12,Tue,3,CampusB,6000 
Withdrawal,1,12,Tue,3,CampusA,2000 
Withdrawal,1,12,Tue,3,CampusB,2000 
Withdrawal,1,12,Tue,3,DriveUp,3000 
Withdrawal,1,12,Tue,3,DriveUp,1000 
Withdrawal,1,12,Tue,3,DriveUp,1000 
Deposit,1,12,Tue,3,CampusB,6000 
Transfer,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,DriveUp,1000 
Deposit,1,12,Tue,3,CampusB,25000 
Withdrawal,1,12,Tue,3,DriveUp,2000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,DriveUp,3000 
Withdrawal,1,12,Tue,3,DriveUp,1000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,CampusB,6000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,CampusA,3000 
Withdrawal,1,12,Tue,3,DriveUp,3000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Transfer,1,12,Tue,3,DriveUp,30000 
Withdrawal,1,12,Tue,3,CampusA,2000 
Deposit,1,12,Tue,3,CampusB,3000 
Withdrawal,1,12,Tue,3,CampusB,15000 
Withdrawal,1,12,Tue,3,CampusA,1000 
Withdrawal,1,12,Tue,3,CampusA,2000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,DriveUp,9000 
Deposit,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Deposit,1,12,Tue,3,DriveUp,53000 
Withdrawal,1,12,Tue,3,CampusB,6000 
Transfer,1,12,Tue,3,CampusB,24000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,DriveUp,3000 
Deposit,1,12,Tue,3,CampusB,27000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,DriveUp,1000 
Deposit,1,12,Tue,3,CampusB,13000 
Withdrawal,1,12,Tue,3,DriveUp,6000 
Withdrawal,1,12,Tue,3,CampusB,8000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Deposit,1,12,Tue,3,DriveUp,23000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,DriveUp,1000 
Withdrawal,1,12,Tue,3,CampusB,3000 
Withdrawal,1,12,Tue,3,DriveUp,1000 
Withdrawal,1,12,Tue,3,DriveUp,2000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,CampusB,1000 
Withdrawal,1,12,Tue,3,CampusA,2000 
Withdrawal,1,12,Tue,3,DriveUp,2000 
Withdrawal,1,12,Tue,3,CampusB,2000 
Withdrawal,1,12,Tue,3,CampusB,2000 
Withdrawal,1,12,Tue,3,CampusB,2000 
Withdrawal,1,12,Tue,3,CampusB,2000 
Deposit,1,12,Tue,3,CampusB,3000 
Withdrawal,1,12,Tue,3,DriveUp,6000 
Transfer,1,12,Tue,3,CampusB,3000 
Deposit,1,12,Tue,3,CampusB,15000 
Deposit,1,12,Tue,3,DriveUp,30000 
Withdrawal,1,12,Tue,3,CampusA,3000 
Deposit,1,13,Tue,3,CampusB,2000 
Withdrawal,1,13,Tue,3,CampusB,1000 
Deposit,1,13,Tue,3,DriveUp,12000 
Withdrawal,1,13,Tue,3,DriveUp,3000 
Withdrawal,1,13,Tue,3,CampusB,1000 
Withdrawal,1,13,Tue,3,DriveUp,2000 
Deposit,1,13,Tue,3,CampusB,3000 
Withdrawal,1,13,Tue,3,DriveUp,8000 
Deposit,1,13,Tue,3,DriveUp,17000 
Withdrawal,1,13,Tue,3,CampusB,1000 
Withdrawal,1,13,Tue,3,CampusB,3000 
Withdrawal,1,13,Tue,3,CampusB,1000 
Withdrawal,1,13,Tue,3,DriveUp,2000 
Deposit,1,13,Tue,3,CampusB,1000 
Deposit,1,13,Tue,3,CampusB,3000 
Withdrawal,1,13,Tue,3,DriveUp,1000 
Withdrawal,1,13,Tue,3,CampusB,1000 
Deposit,1,13,Tue,3,DriveUp,18000 
Withdrawal,1,13,Tue,3,DriveUp,3000 
Withdrawal,1,13,Tue,3,CampusB,3000 
Withdrawal,1,13,Tue,3,DriveUp,6000 
Withdrawal,1,13,Tue,3,DriveUp,3000 
Deposit,1,13,Tue,3,CampusB,5000 
Withdrawal,1,13,Tue,3,CampusB,1000 
Deposit,1,13,Tue,3,DriveUp,2000 
Withdrawal,1,13,Tue,3,DriveUp,6000 
Withdrawal,1,13,Tue,3,DriveUp,6000 
Withdrawal,1,13,Tue,3,CampusB,1000 
Withdrawal,1,13,Tue,3,CampusA,1000 
Withdrawal,1,13,Tue,3,CampusB,1000 
Withdrawal,1,13,Tue,3,CampusA,1000 
Deposit,1,13,Tue,3,DriveUp,19000 
Withdrawal,1,13,Tue,3,CampusB,1000 
Withdrawal,1,13,Tue,3,CampusB,1000 
Deposit,1,13,Tue,3,DriveUp,6000 
Withdrawal,1,13,Tue,3,CampusB,1000 
Withdrawal,1,13,Tue,3,DriveUp,2000 
Withdrawal,1,13,Tue,3,CampusB,3000 
Deposit,1,14,Tue,3,CampusB,9000 
Withdrawal,1,14,Tue,3,CampusA,1000 
Deposit,1,14,Tue,3,CampusB,3000 
Withdrawal,1,14,Tue,3,DriveUp,2000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,DriveUp,1000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,DriveUp,1000 
Deposit,1,14,Tue,3,CampusB,4000 
Withdrawal,1,14,Tue,3,DriveUp,2000 
Deposit,1,14,Tue,3,CampusB,2000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,2000 
Deposit,1,14,Tue,3,DriveUp,7000 
Withdrawal,1,14,Tue,3,DriveUp,3000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Deposit,1,14,Tue,3,DriveUp,6000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,2000 
Deposit,1,14,Tue,3,DriveUp,10000 
Withdrawal,1,14,Tue,3,DriveUp,3000 
Withdrawal,1,14,Tue,3,CampusB,2000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,DriveUp,2000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Deposit,1,14,Tue,3,CampusB,29000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,DriveUp,2000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Deposit,1,14,Tue,3,DriveUp,2000 
Deposit,1,14,Tue,3,CampusB,11000 
Withdrawal,1,14,Tue,3,CampusB,2000 
Withdrawal,1,14,Tue,3,CampusB,1000 
Withdrawal,1,14,Tue,3,CampusB,4000 
Withdrawal,1,14,Tue,3,DriveUp,1000 
Deposit,1,15,Tue,3,CampusB,14000 
Withdrawal,1,15,Tue,3,CampusB,1000 
Withdrawal,1,15,Tue,3,DriveUp,6000 
Transfer,1,15,Tue,3,CampusB,3000 
Withdrawal,1,15,Tue,3,CampusB,1000 
Deposit,1,15,Tue,3,DriveUp,17000 
Transfer,1,15,Tue,3,DriveUp,3000 
Withdrawal,1,15,Tue,3,DriveUp,3000 
Withdrawal,1,15,Tue,3,CampusB,1000 
Withdrawal,1,15,Tue,3,DriveUp,3000 
Deposit,1,15,Tue,3,DriveUp,23000 
Deposit,1,15,Tue,3,CampusB,14000 
Deposit,1,15,Tue,3,CampusB,1000 
Withdrawal,1,15,Tue,3,CampusB,2000 
Deposit,1,15,Tue,3,DriveUp,2000 
Withdrawal,1,15,Tue,3,CampusB,1000 
Withdrawal,1,15,Tue,3,DriveUp,1000 
Withdrawal,1,15,Tue,3,CampusA,1000 
Deposit,1,15,Tue,3,CampusB,19000 
Withdrawal,1,15,Tue,3,CampusB,15000 
Deposit,1,15,Tue,3,CampusB,2000 
Withdrawal,1,15,Tue,3,DriveUp,2000 
Withdrawal,1,15,Tue,3,CampusB,5000 
Deposit,1,15,Tue,3,CampusB,30000 
Withdrawal,1,15,Tue,3,CampusB,1000 
Withdrawal,1,15,Tue,3,DriveUp,2000 
Transfer,1,15,Tue,3,DriveUp,6000 
Withdrawal,1,15,Tue,3,CampusA,1000 
Deposit,1,15,Tue,3,DriveUp,5000 
Withdrawal,1,15,Tue,3,CampusB,1000 
Withdrawal,1,15,Tue,3,CampusB,1000 
Deposit,1,15,Tue,3,CampusB,3000 
Withdrawal,1,15,Tue,3,DriveUp,1000 
Withdrawal,1,15,Tue,3,DriveUp,1000 
Withdrawal,1,15,Tue,3,DriveUp,2000 
Deposit,1,15,Tue,3,CampusB,75000 
Withdrawal,1,15,Tue,3,CampusB,1000 
Deposit,1,15,Tue,3,CampusB,6000 
Deposit,1,15,Tue,3,CampusB,11000 
Withdrawal,1,16,Tue,3,CampusB,1000 
Withdrawal,1,16,Tue,3,DriveUp,6000 
Deposit,1,16,Tue,3,CampusB,13000 
Withdrawal,1,16,Tue,3,DriveUp,1000 
Withdrawal,1,16,Tue,3,CampusB,1000 
Withdrawal,1,16,Tue,3,CampusB,1000 
Withdrawal,1,16,Tue,3,DriveUp,2000 
Withdrawal,1,16,Tue,3,CampusB,1000 
Withdrawal,1,16,Tue,3,DriveUp,1000 
Deposit,1,16,Tue,3,CampusB,14000 
Deposit,1,16,Tue,3,CampusB,2000 
Deposit,1,16,Tue,3,DriveUp,3000 
Deposit,1,16,Tue,3,DriveUp,4000 
Withdrawal,1,16,Tue,3,CampusB,1000 
Withdrawal,1,16,Tue,3,DriveUp,2000 
Deposit,1,16,Tue,3,CampusB,2000 
Deposit,1,16,Tue,3,CampusB,1000 
Deposit,1,16,Tue,3,CampusB,4000 
Deposit,1,16,Tue,3,CampusB,2000 
Withdrawal,1,16,Tue,3,DriveUp,2000 
Withdrawal,1,16,Tue,3,CampusB,1000 
Withdrawal,1,16,Tue,3,DriveUp,3000 
Deposit,1,16,Tue,3,DriveUp,7000 
Withdrawal,1,16,Tue,3,DriveUp,1000 
Withdrawal,1,16,Tue,3,DriveUp,1000 
Withdrawal,1,16,Tue,3,DriveUp,1000 
Withdrawal,1,16,Tue,3,CampusB,6000 
Withdrawal,1,16,Tue,3,CampusA,2000 
Withdrawal,1,16,Tue,3,DriveUp,1000 
Deposit,1,16,Tue,3,DriveUp,52000 
Deposit,1,16,Tue,3,DriveUp,8000 
Withdrawal,1,16,Tue,3,CampusB,1000 
Deposit,1,16,Tue,3,DriveUp,2000 
Deposit,1,16,Tue,3,DriveUp,1000 
Withdrawal,1,16,Tue,3,CampusA,1000 
Withdrawal,1,16,Tue,3,DriveUp,3000 
Deposit,1,16,Tue,3,DriveUp,6000 
Withdrawal,1,16,Tue,3,DriveUp,4000 
Transfer,1,16,Tue,3,CampusB,30000 
Withdrawal,1,16,Tue,3,CampusA,1000 
Withdrawal,1,16,Tue,3,CampusB,3000 
Withdrawal,1,16,Tue,3,DriveUp,1000 
Deposit,1,16,Tue,3,DriveUp,25000 
Withdrawal,1,16,Tue,3,DriveUp,3000 
Withdrawal,1,16,Tue,3,DriveUp,1000 
Deposit,1,16,Tue,3,CampusB,9000 
Withdrawal,1,16,Tue,3,CampusB,8000 
Deposit,1,16,Tue,3,CampusB,27000 
Deposit,1,16,Tue,3,DriveUp,34000 
Transfer,1,16,Tue,3,CampusB,30000 
Deposit,1,16,Tue,3,CampusB,3000 
Deposit,1,16,Tue,3,DriveUp,32000 
Withdrawal,1,16,Tue,3,CampusB,1000 
Deposit,1,16,Tue,3,DriveUp,2000 
Withdrawal,1,16,Tue,3,CampusA,1000 
Withdrawal,1,16,Tue,3,DriveUp,1000 
Withdrawal,1,16,Tue,3,DriveUp,1000 
Deposit,1,16,Tue,3,CampusB,2000 
Withdrawal,1,17,Tue,3,CampusB,1000 
Deposit,1,17,Tue,3,DriveUp,11000 
Withdrawal,1,17,Tue,3,DriveUp,3000 
Withdrawal,1,17,Tue,3,CampusB,1000 
Withdrawal,1,17,Tue,3,CampusB,1000 
Transfer,1,17,Tue,3,CampusB,5000 
Withdrawal,1,17,Tue,3,CampusB,1000 
Withdrawal,1,17,Tue,3,DriveUp,2000 
Deposit,1,17,Tue,3,CampusB,3000 
Deposit,1,17,Tue,3,DriveUp,17000 
Withdrawal,1,17,Tue,3,CampusB,1000 
Withdrawal,1,17,Tue,3,CampusA,1000 
Withdrawal,1,17,Tue,3,DriveUp,1000 
Withdrawal,1,17,Tue,3,DriveUp,1000 
Withdrawal,1,17,Tue,3,CampusB,3000 
Withdrawal,1,17,Tue,3,DriveUp,1000 
Withdrawal,1,17,Tue,3,CampusB,1000 
Withdrawal,1,17,Tue,3,DriveUp,3000 
Deposit,1,17,Tue,3,CampusB,3000 
Deposit,1,17,Tue,3,CampusB,4000 
Withdrawal,1,17,Tue,3,CampusB,1000 
Deposit,1,17,Tue,3,DriveUp,3000 
Withdrawal,1,17,Tue,3,DriveUp,3000 
Withdrawal,1,17,Tue,3,DriveUp,1000 
Deposit,1,17,Tue,3,DriveUp,12000 
Withdrawal,1,17,Tue,3,DriveUp,1000 
Withdrawal,1,17,Tue,3,CampusA,1000 
Withdrawal,1,17,Tue,3,DriveUp,1000 
Withdrawal,1,17,Tue,3,CampusB,8000 
Withdrawal,1,17,Tue,3,DriveUp,3000 
Deposit,1,17,Tue,3,DriveUp,2000 
Withdrawal,1,17,Tue,3,CampusB,1000 
Withdrawal,1,17,Tue,3,DriveUp,1000 
Deposit,1,17,Tue,3,CampusB,4000 
Withdrawal,1,17,Tue,3,CampusB,1000 
Deposit,1,17,Tue,3,DriveUp,22000 
Deposit,1,17,Tue,3,CampusB,5000 
Deposit,1,17,Tue,3,DriveUp,57000 
Withdrawal,1,17,Tue,3,DriveUp,7000 
Withdrawal,1,17,Tue,3,DriveUp,1000 
Withdrawal,1,17,Tue,3,CampusB,8000 
Withdrawal,1,17,Tue,3,DriveUp,1000 
Withdrawal,1,17,Tue,3,DriveUp,3000 
Withdrawal,1,17,Tue,3,CampusB,1000 
Withdrawal,1,17,Tue,3,DriveUp,1000 
Withdrawal,1,18,Tue,3,CampusB,8000 
Withdrawal,1,18,Tue,3,CampusB,2000 
Withdrawal,1,18,Tue,3,DriveUp,1000 
Deposit,1,18,Tue,3,DriveUp,17000 
Withdrawal,1,18,Tue,3,DriveUp,5000 
Withdrawal,1,18,Tue,3,DriveUp,1000 
Withdrawal,1,18,Tue,3,CampusB,1000 
Deposit,1,18,Tue,3,CampusB,1000 
Withdrawal,1,18,Tue,3,CampusB,1000 
Withdrawal,1,18,Tue,3,DriveUp,2000 
Withdrawal,1,18,Tue,3,CampusB,1000 
Deposit,1,18,Tue,3,CampusB,6000 
Transfer,1,18,Tue,3,DriveUp,69000 
Withdrawal,1,18,Tue,3,DriveUp,5000 
Withdrawal,1,18,Tue,3,CampusB,1000 
Withdrawal,1,18,Tue,3,CampusB,2000 
Deposit,1,18,Tue,3,DriveUp,2000 
Withdrawal,1,18,Tue,3,DriveUp,1000 
Withdrawal,1,18,Tue,3,DriveUp,1000 
Withdrawal,1,18,Tue,3,CampusB,1000 
Deposit,1,18,Tue,3,DriveUp,3000 
Deposit,1,18,Tue,3,DriveUp,2000 
Deposit,1,18,Tue,3,DriveUp,10000 
Withdrawal,1,18,Tue,3,DriveUp,2000 
Deposit,1,18,Tue,3,DriveUp,12000 
Withdrawal,1,18,Tue,3,CampusB,1000 
Deposit,1,18,Tue,3,DriveUp,1000 
Withdrawal,1,18,Tue,3,DriveUp,11000 
Withdrawal,1,18,Tue,3,CampusB,1000 
Withdrawal,1,18,Tue,3,DriveUp,1000 
Withdrawal,1,18,Tue,3,DriveUp,1000 
Deposit,1,18,Tue,3,DriveUp,3000 
Withdrawal,1,18,Tue,3,CampusB,1000 
Withdrawal,1,18,Tue,3,CampusB,1000 
Withdrawal,1,18,Tue,3,CampusB,2000 
Withdrawal,1,18,Tue,3,CampusB,1000 
Withdrawal,1,18,Tue,3,CampusB,2000 
Deposit,1,18,Tue,3,CampusB,3000 
Deposit,1,19,Tue,3,CampusB,17000 
Deposit,1,19,Tue,3,CampusB,5000 
Withdrawal,1,19,Tue,3,CampusB,1000 
Deposit,1,19,Tue,3,DriveUp,8000 
Withdrawal,1,19,Tue,3,DriveUp,3000 
Withdrawal,1,19,Tue,3,DriveUp,1000 
Withdrawal,1,19,Tue,3,CampusB,1000 
Deposit,1,19,Tue,3,DriveUp,4000 
Withdrawal,1,19,Tue,3,DriveUp,2000 
Withdrawal,1,19,Tue,3,DriveUp,2000 
Withdrawal,1,19,Tue,3,DriveUp,2000 
Deposit,1,19,Tue,3,CampusB,2000 
Withdrawal,1,19,Tue,3,CampusB,1000 
Deposit,1,19,Tue,3,DriveUp,40000 
Withdrawal,1,19,Tue,3,DriveUp,2000 
Withdrawal,1,19,Tue,3,DriveUp,2000 
Deposit,1,19,Tue,3,CampusB,4000 
Withdrawal,1,19,Tue,3,CampusB,5000 
Transfer,1,19,Tue,3,CampusB,14000 
Withdrawal,1,19,Tue,3,CampusB,1000 
Withdrawal,1,19,Tue,3,DriveUp,1000 
Deposit,1,19,Tue,3,DriveUp,71000 
Transfer,1,19,Tue,3,DriveUp,48000 
Transfer,1,19,Tue,3,DriveUp,12000 
Deposit,1,19,Tue,3,DriveUp,3000 
Withdrawal,1,19,Tue,3,CampusB,2000 
Withdrawal,1,19,Tue,3,DriveUp,1000 
Deposit,1,19,Tue,3,DriveUp,3000 
Withdrawal,1,19,Tue,3,DriveUp,2000 
Deposit,1,19,Tue,3,DriveUp,7000 
Withdrawal,1,19,Tue,3,CampusB,3000 
Withdrawal,1,20,Tue,3,DriveUp,1000 
Withdrawal,1,20,Tue,3,DriveUp,1000 
Withdrawal,1,20,Tue,3,CampusB,1000 
Deposit,1,20,Tue,3,DriveUp,38000 
Withdrawal,1,20,Tue,3,DriveUp,2000 
Deposit,1,20,Tue,3,DriveUp,9000 
